Date,Open,High,Low,Close,Volume
2020-01-02,5.94402,5.97288,5.8933,5.97288,238675161
2020-01-03,5.85308,5.92105,5.82812,5.87724,206634962
2020-01-06,5.78358,5.90707,5.75741,5.90189,264014644
2020-01-07,5.93024,6.01934,5.8851,5.97338,320543948
2020-01-08,5.9691,6.02601,5.92905,5.98467,278402946
2020-01-09,6.07094,6.12277,5.99636,6.05026,256513024
2020-01-10,6.1574,6.18787,6.06855,6.08272,317789012
2020-01-13,6.16559,6.29821,6.14333,6.27322,321680962
2020-01-14,6.2305,6.25577,6.14333,6.1562,361086768
2020-01-15,6.16888,6.19136,6.08791,6.11388,264208422
2020-01-16,6.16719,6.20334,6.14373,6.19736,285383048
2020-01-17,6.21652,6.22412,6.1584,6.20614,254854482
2020-01-21,6.16937,6.20634,6.13873,6.17257,218830597
2020-01-22,6.21812,6.31316,6.19915,6.22532,240241635
2020-01-23,6.26675,6.30341,6.17787,6.29501,245539460
2020-01-24,6.41043,6.46016,6.18157,6.2361,375079410
2020-01-27,5.93124,6.0313,5.78138,5.98007,472506764
2020-01-28,6.04596,6.20584,5.99287,6.17337,312279722
2020-01-29,6.1589,6.19516,6.07323,6.11318,260538864
2020-01-30,6.01534,6.13335,5.96011,6.11977,291721434
2020-01-31,6.07392,6.08591,5.84428,5.8861,371972560
2020-02-03,5.86804,6.00285,5.86175,5.98337,257001091
2020-02-04,6.12537,6.17157,6.07522,6.1525,272681950
2020-02-05,6.27342,6.28342,6.1594,6.24309,209093025
2020-02-06,6.27722,6.32954,6.19616,6.32924,219197133
2020-02-07,6.28941,6.31168,6.23829,6.26346,190547628
2020-02-10,6.28601,6.54741,6.28102,6.54661,531828029
2020-02-11,6.65526,6.78426,6.59307,6.66945,641233843
2020-02-12,6.72237,6.79186,6.68343,6.78526,376215333
2020-02-13,6.72737,6.80884,6.69991,6.74142,530228936
2020-02-14,7.15152,7.34334,7.12017,7.21432,1046291700
2020-02-18,7.11117,7.40155,7.09162,7.38298,624488088
2020-02-19,7.50579,7.85259,7.50579,7.8348,697242031
2020-02-20,7.78667,7.87524,7.37759,7.68531,813446277
2020-02-21,7.5733,7.59825,7.2361,7.32099,772518323
2020-02-24,6.72687,7.01741,6.67225,6.80385,860507291
2020-02-25,6.87874,6.94054,6.42193,6.52365,1059922634
2020-02-26,6.52385,6.85776,6.52245,6.66345,752804204
2020-02-27,6.34922,6.65127,6.20015,6.29221,909670668
2020-02-28,6.0286,6.78726,6.02332,6.72787,1138750940
2020-03-02,6.8977,6.91487,6.5016,6.88592,893945032
2020-03-03,6.94174,7.00165,6.53785,6.6235,655137934
2020-03-04,6.73117,7.09662,6.65626,7.08724,599553158
2020-03-05,6.88772,7.05477,6.7633,6.80804,542268247
2020-03-06,6.6283,6.68592,6.4267,6.6273,517263604
2020-03-09,5.97608,6.46156,5.93324,6.11448,616364401
2020-03-10,6.39026,6.50348,6.12806,6.50348,582734373
2020-03-11,6.36321,6.39176,6.04276,6.14003,503871155
2020-03-12,5.61613,5.88192,5.37608,5.38867,819474340
2020-03-13,5.74163,6.00405,5.47042,5.99966,637118000
2020-03-16,5.29151,5.6321,4.83239,4.89229,729583368
2020-03-17,5.00484,5.5014,4.75759,5.41262,836626291
2020-03-18,4.98426,5.22978,4.50108,5.05237,877406625
2020-03-19,5.0309,5.39915,4.81721,5.30537,768263532
2020-03-20,5.45515,5.73724,5.10997,5.12557,807524372
2020-03-23,5.12457,5.39297,4.94522,5.29847,646187425
2020-03-24,5.70448,6.29371,5.68071,6.20734,1105600837
2020-03-25,6.32206,6.52185,6.06995,6.11877,796280615
2020-03-26,6.32555,6.53195,6.22782,6.40773,700093380
2020-03-27,6.22782,6.55441,6.19486,6.29541,641124360
2020-03-30,6.36081,6.6253,6.31686,6.61602,604413351
2020-03-31,6.65626,6.86046,6.42043,6.5664,953372726
2020-04-01,6.36801,6.51466,6.01064,6.05526,659272666
2020-04-02,6.08452,6.37678,6.03627,6.36351,678191761
2020-04-03,6.32605,6.36751,5.93853,6.07622,665596080
2020-04-06,6.35781,6.72317,6.30041,6.68622,730496960
2020-04-07,6.90769,6.93125,6.40913,6.45237,787339811
2020-04-08,6.5616,6.67494,6.49162,6.64997,544392944
2020-04-09,6.77588,6.79885,6.48704,6.55011,528138070
2020-04-13,6.49033,6.73117,6.40174,6.72237,399838318
2020-04-14,6.85049,7.1074,6.82282,7.07355,532853787
2020-04-15,6.9051,7.07894,6.85996,6.99586,367464031
2020-04-16,7.15132,7.44818,7.13814,7.34104,748298579
2020-04-17,7.42322,7.44469,7.14783,7.28184,541058445
2020-04-20,7.15532,7.3112,7.1062,7.15052,451002396
2020-04-21,7.0326,7.09362,6.65396,6.71388,737800464
2020-04-22,6.90589,7.1711,6.86046,7.12816,486470243
2020-04-23,7.1703,7.30201,7.04978,7.07505,425683094
2020-04-24,7.06476,7.21562,6.98987,7.21362,353912145
2020-04-27,7.34832,7.56053,7.32378,7.40025,481109885
2020-04-28,7.54804,7.578,7.25226,7.25786,444494999
2020-04-29,7.39256,7.48762,7.31749,7.43472,380523794
2020-04-30,7.38078,7.43472,7.26686,7.28084,377268002
2020-05-01,7.08324,7.19636,6.99616,7.04438,343326590
2020-05-04,6.99686,7.26985,6.99686,7.25586,318695843
2020-05-05,7.36031,7.47984,7.25606,7.31719,370220609
2020-05-06,7.39655,7.52307,7.35881,7.41793,324627413
2020-05-07,7.55754,7.65767,7.50639,7.59446,375072911
2020-05-08,7.66617,7.79086,7.6323,7.78467,341128024
2020-05-11,7.77968,8.08324,7.75094,8.0364,470745018
2020-05-12,8.09422,8.14316,7.76492,7.7747,494830292
2020-05-13,7.88953,8.0494,7.5677,7.75214,628098117
2020-05-14,7.81364,8.00725,7.65997,8.00166,604475834
2020-05-15,7.86177,8.47006,7.846,8.46057,991209343
2020-05-18,8.72937,8.88455,8.64949,8.71908,779192159
2020-05-19,8.75883,9.05468,8.73166,8.77401,719898505
2020-05-20,8.95882,9.01076,8.85707,8.93785,589646554
2020-05-21,9.01906,9.02006,8.7064,8.74404,763803365
2020-05-22,8.79369,9.06017,8.68214,8.99408,1042496194
2020-05-26,9.12379,9.14876,8.641,8.68674,773547617
2020-05-27,8.59406,8.60186,7.96801,8.49461,1180115975
2020-05-28,8.38219,8.72937,8.34924,8.45677,738772272
2020-05-29,8.52378,8.84379,8.45479,8.84379,748599047
2020-06-01,8.80167,8.80916,8.65847,8.77471,391913668
2020-06-02,8.76482,8.80567,8.62702,8.79369,392726129
2020-06-03,8.7907,8.83461,8.66897,8.73835,366751500
