Date,Open,High,Low,Close,Volume
2020-01-02,1.152,1.1546,1.036,1.1336,12320
2020-01-03,1.15,1.15,1.15,1.15,1550
2020-01-06,1.0223,1.0223,0.968,1.02,33950
2020-01-07,1.0221,1.26,1.0036,1.04,26093
2020-01-09,1.204,1.9,1.008,1.216,3541175
2020-01-10,1.084,1.38,1.084,1.304,289670
2020-01-13,1.28,1.3293,1.204,1.308,63445
2020-01-14,1.254,1.276,1.192,1.208,50235
2020-01-15,1.216,1.216,1.1519,1.16,19983
2020-01-16,1.164,1.2313,1.12,1.1386,38933
2020-01-17,1.1234,1.1394,1.108,1.1117,17123
2020-01-21,1.108,1.1245,1.08,1.108,40170
2020-01-22,1.084,1.1393,1.0831,1.1184,16818
2020-01-23,1.0945,1.12,1.08,1.088,13278
2020-01-24,1.064,1.09,1.0444,1.0488,40798
2020-01-27,1.0884,1.0884,1.0884,1.0884,1263
2020-01-28,1.044,1.084,1.004,1.02,21153
2020-01-29,1.0576,1.064,0.972,1.0,56105
2020-01-30,1.0,1.0199,0.9244,1.0,12245
2020-01-31,0.98,0.992,0.844,0.9514,29835
2020-02-03,0.932,0.964,0.9,0.956,33143
2020-02-04,0.973,0.98,0.864,0.9006,36523
2020-02-05,0.93,0.96,0.918,0.9569,14518
2020-02-06,0.944,0.996,0.944,0.952,14430
2020-02-07,0.8896,0.9484,0.888,0.928,6565
2020-02-10,0.9929,0.9929,0.9276,0.9276,2225
2020-02-11,0.9374,0.944,0.9045,0.9192,20370
2020-02-12,0.9277,0.9277,0.9277,0.9277,1500
2020-02-13,0.876,0.876,0.828,0.828,13070
2020-02-14,0.992,0.992,0.9156,0.956,42298
2020-02-18,0.908,0.912,0.84,0.84,97120
2020-02-19,0.8706,0.8706,0.838,0.84,33303
2020-02-20,0.8451,0.848,0.76,0.796,40653
2020-02-21,0.804,0.804,0.8,0.8,7203
2020-02-24,0.78,0.788,0.616,0.672,163443
2020-02-25,0.712,0.712,0.6728,0.676,42905
2020-02-26,0.73,0.756,0.6677,0.6999,21448
2020-02-27,0.704,1.08,0.66,0.926,248053
2020-02-28,0.956,1.1788,0.808,0.8572,293528
2020-03-02,0.94,0.94,0.8,0.804,31460
2020-03-03,0.8089,0.8089,0.8,0.8,10820
2020-03-04,0.8,0.8,0.662,0.7079,101960
2020-03-05,0.752,0.924,0.752,0.824,123868
2020-03-06,0.84,0.872,0.8,0.8444,40568
2020-03-09,0.84,0.84,0.76,0.7632,20225
2020-03-10,0.82,0.82,0.7695,0.808,47145
2020-03-11,1.9,3.08,1.26,1.58,29824123
2020-03-12,2.3,2.32,1.6,2.104,10142380
2020-03-13,1.76,1.76,1.2,1.336,2457868
2020-03-16,1.0,1.04,0.788,0.9,1490435
2020-03-17,0.98,1.06,0.884,0.912,701568
2020-03-18,0.88,0.8801,0.7492,0.804,772263
2020-03-19,0.84,0.84,0.6226,0.684,1002548
2020-03-20,0.72,0.7834,0.7,0.712,579305
2020-03-23,0.808,0.84,0.672,0.72,659308
2020-03-24,0.74,0.752,0.668,0.72,775638
2020-03-25,0.696,0.764,0.688,0.728,580073
2020-03-26,0.768,0.78,0.712,0.752,607968
2020-03-27,0.744,0.76,0.664,0.712,423238
2020-03-30,0.724,0.76,0.704,0.744,350970
2020-03-31,0.768,0.896,0.768,0.816,752253
2020-04-01,0.836,0.836,0.664,0.72,258600
2020-04-02,0.728,0.852,0.728,0.792,654680
2020-04-03,0.8,0.864,0.756,0.828,262180
2020-04-06,0.832,0.896,0.812,0.856,431853
2020-04-07,0.84,0.856,0.784,0.848,147943
2020-04-08,0.836,0.8749,0.816,0.868,384045
2020-04-09,1.48,1.52,1.232,1.36,19648638
2020-04-13,1.3,1.384,1.204,1.232,2792208
2020-04-14,1.472,1.48,1.304,1.34,2710218
2020-04-15,1.4,1.4,1.212,1.26,987570
2020-04-16,1.26,1.316,1.216,1.292,564080
2020-04-17,1.304,1.312,1.22,1.268,524885
2020-04-20,1.236,1.24,1.12,1.22,456003
2020-04-21,1.304,1.32,1.216,1.252,449163
2020-04-22,1.248,1.2535,1.2,1.22,268695
2020-04-23,1.2,1.236,1.168,1.2,260973
2020-04-24,1.164,1.228,1.08,1.188,1044920
2020-04-27,1.332,1.34,1.1,1.216,1903748
2020-04-28,1.188,1.204,1.124,1.172,484570
2020-04-29,1.16,1.18,1.114,1.164,356260
2020-04-30,1.148,1.168,1.0534,1.108,419740
2020-05-01,1.06,1.132,1.04,1.128,267865
2020-05-04,1.208,1.3,1.18,1.18,1533933
2020-05-05,1.308,1.448,1.244,1.392,1880848
2020-05-06,1.492,1.516,1.4,1.48,705585
2020-05-07,1.512,1.528,1.284,1.456,476310
2020-05-08,1.384,1.48,1.36,1.432,235620
2020-05-11,1.52,1.596,1.444,1.596,682433
2020-05-12,1.6,1.64,1.52,1.632,648645
2020-05-13,1.836,2.08,1.612,1.78,1803658
2020-05-14,2.0,2.056,1.68,2.04,1501143
2020-05-15,2.016,2.36,2.004,2.236,1137178
2020-05-18,2.304,2.44,2.252,2.36,1009290
2020-05-19,2.364,2.392,2.06,2.16,455183
2020-05-20,2.104,2.184,1.764,1.9,834308
2020-05-21,1.888,2.1,1.824,2.06,503308
2020-05-22,2.3,2.36,2.12,2.292,915978
2020-05-26,2.596,2.612,2.4,2.476,1103790
2020-05-27,2.452,2.508,2.356,2.452,365020
2020-05-28,2.492,2.6,2.48,2.508,194580
2020-05-29,2.72,2.74,2.52,2.644,508268
2020-06-01,2.684,2.808,2.646,2.74,480763
2020-06-02,2.8,2.8,2.502,2.648,259158
2020-06-03,2.508,2.62,2.44,2.62,263453
2020-06-04,2.616,2.642,2.528,2.6,221265
2020-06-05,2.524,2.5363,2.24,2.32,535370
2020-06-08,2.3,2.448,2.24,2.388,314625
2020-06-09,2.312,2.464,2.284,2.32,125843
2020-06-10,2.352,2.412,2.2578,2.296,140900
2020-06-11,2.224,2.288,2.052,2.152,146493
2020-06-12,2.128,2.3528,2.088,2.256,68668
2020-06-15,2.28,2.396,2.124,2.352,216068
2020-06-16,2.316,2.5,2.24,2.392,167025
2020-06-17,2.444,2.4723,2.348,2.412,149830
2020-06-18,2.356,2.476,2.308,2.412,303718
2020-06-19,2.668,3.424,2.26,2.72,3386413
2020-06-22,2.596,2.6,2.36,2.436,446770
2020-06-23,2.4,2.4224,2.3,2.392,260900
